,model,fold,score
0,LogisticRegression,1,0.9303571428571429
1,LogisticRegression,2,0.9318452380952381
2,LogisticRegression,3,0.9160714285714285
3,LogisticRegression,4,0.9255952380952381
4,LogisticRegression,5,0.9330357142857143
5,RandomForest,1,0.9488095238095238
6,RandomForest,2,0.9497023809523809
7,RandomForest,3,0.9511904761904761
8,RandomForest,4,0.9526785714285714
9,RandomForest,5,0.9598214285714286
10,XGBoost,1,0.9648809523809524
11,XGBoost,2,0.9645833333333333
12,XGBoost,3,0.9636904761904762
13,XGBoost,4,0.9702380952380952
14,XGBoost,5,0.9717261904761905
