,model,fold,auc
0,LogisticRegression,1,0.9996410856009069
1,LogisticRegression,2,0.9995429864654195
2,LogisticRegression,3,0.9998726704223356
3,LogisticRegression,4,0.9998493303571429
4,LogisticRegression,5,0.9998261674461452
5,RandomForest,1,0.9999943089214853
6,RandomForest,2,0.9999936667375283
7,RandomForest,3,0.9999898357780612
8,RandomForest,4,0.9999996678358843
9,RandomForest,5,0.999996523348923
10,XGBoost,1,0.9999949953939908
11,XGBoost,2,0.9999945082199546
12,XGBoost,3,0.9999937553146258
13,XGBoost,4,0.999999468537415
14,XGBoost,5,0.9999986713435374
